rol,exp,rutina,estructuracion,creatividad,resolucion,interaccion,automatizacion
desconocido,5.0,5.0,1.0,5.0,1.0,4.0,5.0
desconocido,3.0,5.0,1.0,2.0,3.0,1.0,4.0
desconocido,4.0,5.0,3.0,4.0,5.0,1.0,6.0
desconocido,4.0,3.0,3.0,5.0,2.0,2.0,3.0
desconocido,3.0,3.0,5.0,4.0,1.0,2.0,4.0
desconocido,4.0,1.0,5.0,5.0,2.0,4.0,2.0
desconocido,4.0,4.0,1.0,4.0,2.0,5.0,2.0
desconocido,2.0,3.0,2.0,5.0,1.0,2.0,1.0
desconocido,3.0,1.0,3.0,4.0,3.0,1.0,3.0
desconocido,4.0,5.0,5.0,1.0,1.0,1.0,5.0
desconocido,4.0,3.0,3.0,3.0,4.0,4.0,5.0
desconocido,5.0,5.0,1.0,1.0,2.0,5.0,2.0
desconocido,3.0,3.0,5.0,1.0,4.0,2.0,4.0
desconocido,1.0,5.0,2.0,4.0,1.0,1.0,2.0
desconocido,2.0,5.0,3.0,2.0,3.0,2.0,3.0
desconocido,2.0,1.0,5.0,5.0,4.0,3.0,3.0525547445255476
desconocido,2.0,3.0,4.0,2.0,3.0,5.0,2.0
desconocido,4.0,5.0,1.0,3.0,5.0,2.0,3.0
desconocido,3.0,3.0,4.0,1.0,2.988338192419825,2.0,4.0
desconocido,2.0,2.0,5.0,2.0,5.0,1.0,5.0
desconocido,5.0,2.0,4.0,5.0,3.0,5.0,5.0
desconocido,3.0,3.0,2.0,1.0,1.0,5.0,5.0
desconocido,4.0,2.0,1.0,2.0,4.0,5.0,1.0
desconocido,4.0,5.0,1.0,3.0,2.0,1.0,4.0
desconocido,5.0,2.0,3.0,2.0,5.0,2.0,1.0
desconocido,3.0,2.0,2.0,2.0,4.0,4.0,4.0
desconocido,1.0,5.0,1.0,3.0,1.0,5.0,3.0
desconocido,4.0,3.0,1.0,1.0,3.0,5.0,6.0
desconocido,1.0,3.0,4.0,2.0,2.0,4.0,5.0
desconocido,4.0,4.0,4.0,1.0,3.0,3.0,3.0
desconocido,5.0,4.0,4.0,2.0,2.0,5.0,4.0
desconocido,1.0,1.0,3.0,1.0,5.0,3.0,2.0
desconocido,3.0,3.0,3.0,4.0,4.0,1.0,2.0
desconocido,5.0,1.0,4.0,1.0,5.0,1.0,0.0
desconocido,4.0,1.0,3.0,3.0,2.0,5.0,2.0
desconocido,1.0,5.0,1.0,5.0,2.0,5.0,1.0
desconocido,1.0,2.0,3.0,5.0,2.0,3.0,1.0
desconocido,4.0,5.0,1.0,4.0,2.0,5.0,4.0
desconocido,3.0,2.0,3.0,2.0,5.0,4.0,2.0
desconocido,4.0,2.0,5.0,5.0,5.0,2.0,5.0
desconocido,2.0,1.0,1.0,3.0,5.0,3.0,3.0525547445255476
desconocido,4.0,3.0,1.0,2.0,5.0,5.0,2.0
desconocido,2.988321167883212,1.0,2.0,2.0,1.0,1.0,2.0
desconocido,2.0,2.0,4.0,5.0,2.0,3.0,3.0
desconocido,2.0,5.0,5.0,1.0,2.0,2.0,2.0
desconocido,3.0,3.0,1.0,2.0,4.0,3.0,4.0
desconocido,1.0,2.0,1.0,5.0,3.0,3.0,5.0
desconocido,4.0,5.0,1.0,3.0,2.0,3.0,5.0
desconocido,1.0,3.0,2.0,5.0,5.0,3.0,4.0
desconocido,5.0,3.0,4.0,4.0,5.0,3.0,3.0
desconocido,1.0,5.0,2.998542274052478,1.0,3.0,5.0,5.0
desconocido,5.0,5.0,2.0,1.0,1.0,1.0,5.0
desconocido,4.0,1.0,4.0,2.0,5.0,3.0,4.0
desconocido,1.0,2.0,2.0,5.0,1.0,4.0,6.0
desconocido,5.0,2.0,1.0,1.0,2.0,4.0,4.0
desconocido,3.0,2.0,5.0,1.0,5.0,1.0,2.0
desconocido,4.0,5.0,5.0,1.0,2.0,5.0,3.0
desconocido,3.0,2.0,4.0,5.0,2.0,3.013100436681223,2.0
desconocido,4.0,5.0,4.0,1.0,3.0,2.0,3.0525547445255476
desconocido,4.0,1.0,5.0,2.0,5.0,2.0,2.0
desconocido,3.0,2.0,4.0,5.0,3.0,4.0,2.0
desconocido,1.0,4.0,3.0,3.039301310043668,3.0,4.0,3.0
desconocido,3.0,5.0,2.0,4.0,4.0,3.0,3.0
desconocido,2.0,5.0,2.0,5.0,3.0,3.0,4.0
desconocido,4.0,1.0,3.0,5.0,2.988338192419825,5.0,4.0
desconocido,1.0,3.0,2.0,3.0,1.0,2.0,3.0
desconocido,4.0,2.0,5.0,4.0,5.0,3.0,3.0
desconocido,5.0,2.0,3.0,1.0,4.0,4.0,5.0
desconocido,2.0,5.0,3.0,2.0,2.0,5.0,3.0
desconocido,1.0,2.0,2.0,4.0,1.0,2.0,2.0
desconocido,1.0,2.994186046511628,2.0,3.0,3.0,5.0,2.0
desconocido,2.0,3.0,5.0,4.0,1.0,3.013100436681223,4.0
desconocido,4.0,1.0,3.0,3.0,2.0,2.0,3.0
desconocido,4.0,2.0,2.0,2.0,5.0,1.0,4.0
desconocido,5.0,3.0,4.0,5.0,1.0,1.0,3.0
desconocido,5.0,2.0,4.0,2.0,3.0,3.0,5.0
desconocido,2.0,4.0,1.0,4.0,5.0,4.0,5.0
desconocido,5.0,3.0,1.0,2.0,1.0,4.0,3.0525547445255476
desconocido,4.0,2.0,1.0,4.0,4.0,5.0,3.0
desconocido,4.0,5.0,1.0,3.0,3.0,2.0,2.0
desconocido,1.0,5.0,4.0,4.0,5.0,2.0,3.0
desconocido,1.0,4.0,3.0,5.0,5.0,3.0,5.0
desconocido,1.0,3.0,5.0,1.0,1.0,2.0,3.0
desconocido,4.0,1.0,5.0,1.0,5.0,3.013100436681223,1.0
desconocido,2.0,1.0,2.0,4.0,1.0,2.0,1.0
desconocido,2.0,3.0,1.0,4.0,4.0,1.0,5.0
desconocido,3.0,5.0,3.0,1.0,4.0,2.0,1.0
desconocido,5.0,1.0,4.0,3.0,4.0,5.0,3.0
desconocido,1.0,2.0,3.0,2.0,1.0,4.0,3.0
desconocido,5.0,3.0,2.0,3.0,1.0,5.0,1.0
desconocido,5.0,1.0,2.0,1.0,2.988338192419825,4.0,1.0
desconocido,3.0,1.0,3.0,5.0,1.0,4.0,2.0
desconocido,5.0,2.994186046511628,5.0,1.0,5.0,1.0,3.0
desconocido,2.0,2.0,1.0,4.0,1.0,1.0,2.0
desconocido,3.0,5.0,5.0,1.0,3.0,5.0,2.0
desconocido,5.0,5.0,4.0,5.0,2.0,4.0,4.0
desconocido,4.0,3.0,1.0,4.0,1.0,1.0,5.0
desconocido,3.0,1.0,4.0,5.0,1.0,4.0,1.0
desconocido,2.0,4.0,4.0,3.0,5.0,1.0,1.0
desconocido,5.0,3.0,5.0,3.0,4.0,2.0,3.0
desconocido,2.0,3.0,1.0,1.0,1.0,5.0,4.0
desconocido,3.0,3.0,3.0,4.0,1.0,2.0,1.0
desconocido,4.0,2.0,2.0,1.0,1.0,5.0,5.0
desconocido,4.0,2.0,1.0,4.0,4.0,5.0,5.0
desconocido,5.0,1.0,1.0,5.0,2.0,3.0,2.0
desconocido,4.0,2.0,3.0,5.0,2.0,4.0,2.0
desconocido,1.0,5.0,4.0,4.0,2.0,5.0,3.0
desconocido,5.0,3.0,3.0,5.0,2.0,5.0,2.0
desconocido,2.988321167883212,1.0,4.0,5.0,2.0,2.0,2.0
desconocido,4.0,5.0,2.0,4.0,3.0,1.0,1.0
desconocido,4.0,1.0,2.0,4.0,1.0,5.0,1.0
desconocido,2.0,4.0,2.0,5.0,4.0,3.013100436681223,2.0
desconocido,2.0,5.0,4.0,4.0,1.0,1.0,5.0
desconocido,4.0,1.0,1.0,5.0,1.0,3.0,3.0
desconocido,1.0,2.0,5.0,5.0,1.0,1.0,1.0
desconocido,2.0,1.0,4.0,3.0,2.0,2.0,4.0
desconocido,2.0,5.0,2.0,2.0,3.0,3.0,5.0
desconocido,2.0,2.0,3.0,4.0,4.0,1.0,3.0525547445255476
desconocido,5.0,1.0,2.0,1.0,2.0,4.0,5.0
desconocido,2.0,4.0,1.0,5.0,2.0,1.0,2.0
desconocido,5.0,4.0,5.0,4.0,3.0,5.0,5.0
desconocido,2.0,2.0,2.0,1.0,3.0,3.0,1.0
desconocido,3.0,5.0,3.0,5.0,3.0,4.0,4.0
desconocido,3.0,4.0,1.0,4.0,5.0,2.0,5.0
desconocido,2.0,3.0,5.0,5.0,5.0,1.0,4.0
desconocido,1.0,5.0,2.0,3.0,3.0,4.0,3.0
desconocido,3.0,1.0,4.0,4.0,1.0,4.0,1.0
desconocido,3.0,1.0,1.0,4.0,1.0,2.0,5.0
desconocido,1.0,5.0,1.0,4.0,1.0,2.0,3.0525547445255476
desconocido,3.0,3.0,5.0,5.0,4.0,1.0,2.0
desconocido,3.0,1.0,3.0,4.0,4.0,3.0,5.0
desconocido,4.0,2.994186046511628,1.0,4.0,5.0,4.0,4.0
desconocido,4.0,5.0,1.0,1.0,1.0,1.0,5.0
desconocido,3.0,1.0,2.0,2.0,1.0,1.0,2.0
desconocido,5.0,3.0,2.0,3.0,5.0,5.0,1.0
desconocido,1.0,2.994186046511628,5.0,1.0,3.0,2.0,4.0
desconocido,4.0,4.0,5.0,2.0,1.0,4.0,4.0
desconocido,4.0,2.0,2.0,4.0,3.0,5.0,4.0
desconocido,1.0,4.0,5.0,4.0,3.0,1.0,1.0
desconocido,2.0,2.0,2.0,5.0,1.0,3.0,5.0
desconocido,1.0,3.0,5.0,4.0,4.0,2.0,3.0
desconocido,4.0,4.0,2.0,5.0,1.0,5.0,4.0
desconocido,5.0,4.0,5.0,3.0,5.0,2.0,2.0
desconocido,4.0,5.0,4.0,3.0,1.0,2.0,3.0
desconocido,1.0,3.0,1.0,2.0,2.0,1.0,5.0
desconocido,3.0,2.0,2.0,5.0,1.0,3.0,1.0
desconocido,3.0,5.0,5.0,4.0,1.0,1.0,2.0
desconocido,1.0,4.0,3.0,4.0,2.0,2.0,4.0
desconocido,3.0,3.0,2.0,4.0,1.0,3.0,1.0
desconocido,2.0,5.0,3.0,5.0,5.0,2.0,2.0
desconocido,4.0,2.0,2.0,5.0,1.0,1.0,2.0
desconocido,4.0,1.0,1.0,1.0,1.0,1.0,1.0
desconocido,2.0,3.0,5.0,1.0,4.0,5.0,4.0
desconocido,2.0,1.0,5.0,2.0,3.0,5.0,2.0
desconocido,1.0,1.0,4.0,3.0,2.0,3.0,1.0
desconocido,3.0,5.0,4.0,1.0,4.0,1.0,3.0
desconocido,5.0,3.0,1.0,2.0,3.0,5.0,2.0
desconocido,4.0,4.0,2.0,5.0,5.0,3.0,4.0
desconocido,2.0,1.0,3.0,5.0,1.0,2.0,2.0
desconocido,3.0,3.0,5.0,4.0,3.0,2.0,1.0
desconocido,1.0,5.0,3.0,2.0,1.0,2.0,5.0
desconocido,5.0,4.0,4.0,1.0,2.0,5.0,4.0
desconocido,3.0,1.0,2.0,2.0,5.0,3.013100436681223,3.0
desconocido,1.0,5.0,4.0,2.0,3.0,1.0,5.0
desconocido,5.0,2.0,3.0,4.0,4.0,3.0,1.0
desconocido,4.0,5.0,4.0,1.0,2.988338192419825,1.0,1.0
desconocido,2.0,1.0,3.0,4.0,4.0,5.0,1.0
desconocido,5.0,5.0,5.0,4.0,5.0,5.0,5.0
desconocido,4.0,5.0,5.0,2.0,4.0,2.0,4.0
desconocido,2.988321167883212,2.0,4.0,1.0,3.0,2.0,3.0
desconocido,2.0,3.0,2.0,5.0,5.0,3.0,5.0
desconocido,4.0,5.0,1.0,3.0,2.0,1.0,4.0
desconocido,3.0,2.0,4.0,1.0,5.0,3.0,2.0
desconocido,3.0,1.0,5.0,1.0,2.0,4.0,1.0
desconocido,4.0,5.0,3.0,3.0,1.0,3.0,1.0
desconocido,2.0,1.0,1.0,3.0,1.0,3.0,3.0
desconocido,2.0,3.0,5.0,2.0,1.0,3.0,1.0
desconocido,1.0,4.0,3.0,5.0,3.0,1.0,4.0
desconocido,2.0,3.0,1.0,3.0,5.0,2.0,0.0
desconocido,5.0,2.0,5.0,1.0,4.0,4.0,2.0
desconocido,3.0,3.0,4.0,5.0,1.0,5.0,1.0
desconocido,3.0,2.0,5.0,5.0,3.0,4.0,1.0
desconocido,5.0,3.0,4.0,3.0,2.0,1.0,1.0
desconocido,4.0,3.0,3.0,1.0,5.0,4.0,5.0
desconocido,2.988321167883212,4.0,3.0,4.0,5.0,4.0,2.0
desconocido,5.0,2.0,5.0,2.0,5.0,5.0,3.0
desconocido,3.0,4.0,1.0,5.0,3.0,4.0,2.0
desconocido,3.0,1.0,4.0,2.0,4.0,1.0,4.0
desconocido,2.0,1.0,2.0,5.0,4.0,1.0,3.0
desconocido,5.0,5.0,2.0,2.0,3.0,2.0,4.0
desconocido,4.0,3.0,1.0,3.0,4.0,2.0,4.0
desconocido,4.0,1.0,1.0,1.0,4.0,4.0,2.0
desconocido,3.0,1.0,2.0,5.0,2.0,5.0,2.0
desconocido,2.0,3.0,3.0,4.0,1.0,4.0,0.0
desconocido,1.0,1.0,1.0,2.0,3.0,5.0,3.0
desconocido,2.0,4.0,2.0,4.0,3.0,2.0,5.0
desconocido,3.0,2.0,1.0,4.0,2.0,4.0,2.0
desconocido,3.0,3.0,5.0,4.0,5.0,2.0,1.0
desconocido,3.0,3.0,3.0,5.0,1.0,3.0,3.0
desconocido,5.0,4.0,4.0,1.0,5.0,1.0,1.0
desconocido,4.0,3.0,3.0,1.0,1.0,5.0,5.0
desconocido,4.0,4.0,4.0,1.0,1.0,5.0,1.0
desconocido,4.0,5.0,1.0,5.0,2.0,1.0,1.0
desconocido,5.0,2.0,5.0,3.0,3.0,2.0,3.0525547445255476
desconocido,4.0,4.0,5.0,5.0,5.0,2.0,3.0
desconocido,3.0,3.0,1.0,1.0,5.0,3.0,4.0
desconocido,5.0,3.0,5.0,5.0,2.0,2.0,3.0
desconocido,1.0,1.0,2.0,1.0,1.0,4.0,5.0
desconocido,3.0,4.0,4.0,2.0,2.0,2.0,3.0
desconocido,2.0,4.0,2.0,5.0,3.0,2.0,1.0
desconocido,5.0,2.0,2.0,1.0,2.988338192419825,3.0,5.0
desconocido,3.0,4.0,1.0,1.0,4.0,4.0,4.0
desconocido,4.0,4.0,3.0,3.039301310043668,1.0,4.0,2.0
desconocido,1.0,5.0,1.0,2.0,2.0,5.0,3.0
desconocido,1.0,1.0,3.0,2.0,5.0,5.0,3.0
desconocido,3.0,5.0,1.0,2.0,2.988338192419825,2.0,2.0
desconocido,2.0,2.0,5.0,4.0,1.0,1.0,5.0
desconocido,2.988321167883212,5.0,1.0,3.0,4.0,5.0,4.0
desconocido,5.0,5.0,3.0,2.0,5.0,1.0,3.0
desconocido,1.0,2.0,3.0,3.0,2.0,3.0,3.0
desconocido,2.0,1.0,3.0,5.0,4.0,2.0,4.0
desconocido,1.0,3.0,1.0,1.0,5.0,4.0,1.0
desconocido,2.0,4.0,2.0,2.0,5.0,3.0,3.0
desconocido,2.0,2.0,1.0,1.0,2.0,5.0,4.0
desconocido,4.0,3.0,4.0,5.0,2.0,3.0,2.0
desconocido,2.0,3.0,5.0,5.0,5.0,5.0,6.0
desconocido,2.0,2.0,5.0,5.0,3.0,4.0,2.0
desconocido,4.0,2.0,1.0,1.0,5.0,3.0,4.0
desconocido,2.0,4.0,1.0,2.0,5.0,1.0,2.0
desconocido,1.0,1.0,2.998542274052478,2.0,5.0,2.0,4.0
desconocido,2.0,4.0,5.0,4.0,3.0,2.0,5.0
desconocido,1.0,5.0,3.0,3.0,2.0,5.0,3.0
desconocido,3.0,3.0,3.0,1.0,1.0,5.0,4.0
desconocido,5.0,5.0,5.0,3.0,5.0,3.0,5.0
desconocido,2.0,4.0,2.0,3.0,2.0,4.0,3.0
desconocido,5.0,3.0,1.0,5.0,2.0,1.0,3.0
desconocido,4.0,1.0,3.0,2.0,3.0,3.0,5.0
desconocido,4.0,4.0,4.0,1.0,5.0,3.0,3.0
desconocido,3.0,3.0,5.0,2.0,5.0,5.0,5.0
desconocido,4.0,1.0,4.0,3.0,4.0,3.0,3.0
desconocido,4.0,2.994186046511628,2.0,3.0,5.0,5.0,0.0
desconocido,4.0,3.0,3.0,3.0,1.0,2.0,1.0
desconocido,1.0,1.0,5.0,1.0,1.0,5.0,1.0
desconocido,3.0,5.0,3.0,1.0,4.0,4.0,3.0
desconocido,2.0,2.0,1.0,4.0,4.0,4.0,6.0
desconocido,4.0,5.0,5.0,3.0,2.0,5.0,1.0
desconocido,4.0,2.0,3.0,5.0,4.0,5.0,3.0
desconocido,1.0,1.0,3.0,5.0,4.0,5.0,2.0
desconocido,1.0,5.0,1.0,5.0,3.0,1.0,4.0
desconocido,4.0,2.0,4.0,3.0,4.0,4.0,4.0
desconocido,5.0,1.0,2.0,2.0,3.0,1.0,1.0
desconocido,4.0,5.0,5.0,1.0,1.0,4.0,3.0
desconocido,3.0,4.0,4.0,2.0,1.0,1.0,2.0
desconocido,5.0,3.0,3.0,5.0,3.0,1.0,1.0
desconocido,2.0,2.0,2.0,1.0,3.0,1.0,1.0
desconocido,5.0,2.0,4.0,1.0,5.0,3.0,3.0
desconocido,4.0,5.0,2.0,3.0,2.0,1.0,5.0
desconocido,3.0,3.0,3.0,3.0,5.0,1.0,2.0
desconocido,1.0,4.0,4.0,4.0,2.0,5.0,4.0
desconocido,2.0,3.0,2.998542274052478,1.0,2.0,4.0,4.0
desconocido,3.0,2.0,1.0,5.0,5.0,3.0,1.0
desconocido,4.0,5.0,1.0,1.0,3.0,1.0,4.0
desconocido,4.0,4.0,1.0,4.0,3.0,3.0,2.0
desconocido,2.0,5.0,3.0,1.0,1.0,5.0,4.0
desconocido,4.0,3.0,4.0,2.0,5.0,2.0,4.0
desconocido,4.0,3.0,5.0,3.0,2.0,4.0,4.0
desconocido,5.0,3.0,5.0,1.0,3.0,3.0,1.0
desconocido,5.0,1.0,3.0,1.0,1.0,5.0,3.0
desconocido,4.0,5.0,5.0,4.0,4.0,5.0,3.0
desconocido,5.0,5.0,2.0,1.0,2.0,4.0,2.0
desconocido,2.0,5.0,4.0,4.0,4.0,5.0,2.0
desconocido,5.0,1.0,1.0,5.0,3.0,2.0,5.0
desconocido,1.0,3.0,5.0,3.039301310043668,5.0,1.0,2.0
desconocido,5.0,4.0,3.0,1.0,2.0,1.0,4.0
desconocido,5.0,4.0,3.0,5.0,5.0,3.0,5.0
desconocido,3.0,4.0,5.0,2.0,3.0,5.0,5.0
desconocido,1.0,4.0,4.0,4.0,4.0,3.0,0.0
desconocido,1.0,1.0,4.0,5.0,4.0,3.0,5.0
desconocido,1.0,2.0,5.0,1.0,4.0,3.0,0.0
desconocido,1.0,3.0,1.0,4.0,5.0,2.0,2.0
desconocido,5.0,1.0,4.0,3.0,5.0,5.0,4.0
desconocido,1.0,5.0,2.0,5.0,2.0,5.0,2.0
desconocido,4.0,3.0,2.0,1.0,5.0,3.0,4.0
desconocido,1.0,5.0,1.0,4.0,4.0,1.0,2.0
